sensor_id,timestamp,pm25,no2,o3
SEN-001,2025-01-01 00:00:00,18.374821605180458,29.31164055234901,20.014430569497932
SEN-001,2025-01-01 01:00:00,12.833729065198208,28.609213458287734,25.14742951491981
SEN-001,2025-01-01 02:00:00,17.634842379708473,31.74742143597011,25.01985391668582
SEN-001,2025-01-01 03:00:00,16.007821156160272,20.12351935892626,22.04736885756951
SEN-001,2025-01-01 04:00:00,9.917314829552774,9.169779494190113,24.47889107650366
SEN-001,2025-01-01 05:00:00,21.35653028656847,8.526406397458054,21.541560103725374
SEN-001,2025-01-01 06:00:00,19.829611867401155,18.174733142173245,26.11395872587051
SEN-001,2025-01-01 07:00:00,8.850728179094942,25.511684069119298,23.859207249994512
SEN-001,2025-01-01 08:00:00,17.910370605222568,22.01532563405091,18.9522453746738
SEN-001,2025-01-01 09:00:00,18.89008650151197,28.76655835516936,25.79219921162054
SEN-001,2025-01-01 10:00:00,14.19615778590681,15.43895744100119,23.90528593386829
SEN-001,2025-01-01 11:00:00,12.04574365898105,27.9491883894485,24.473935829575282
SEN-001,2025-01-01 12:00:00,2.895742198128106,25.413006083886973,25.92397502810995
SEN-001,2025-01-01 13:00:00,12.128394892864865,15.37744078256334,25.088405677382575
SEN-001,2025-01-01 14:00:00,19.994826416766063,9.31511699616543,28.008064371387192
SEN-001,2025-01-01 15:00:00,13.713672768183695,10.622361794588858,27.344409705846672
SEN-001,2025-01-01 16:00:00,11.58212231014862,27.673722787504992,23.524871551921077
SEN-001,2025-01-01 17:00:00,22.027473474334144,26.320745125768426,22.887656264643
SEN-001,2025-01-01 18:00:00,16.612082963872634,18.396430710228437,21.22185515939335
SEN-001,2025-01-01 19:00:00,19.39780656703251,18.00505518536288,28.316014394739494
SEN-001,2025-01-01 20:00:00,17.81237174823276,23.332107502182556,26.670317776725604
SEN-001,2025-01-01 21:00:00,18.56381479013164,24.999636950985813,19.787896373793448
SEN-001,2025-01-01 22:00:00,5.278929272396137,12.546424488484075,21.55221529529495
SEN-001,2025-01-01 23:00:00,18.057952614277227,24.30197605964076,21.04657321980226
SEN-001,2025-01-02 00:00:00,9.135807922403131,14.899511466503933,28.13039378969814
SEN-001,2025-01-02 01:00:00,17.2503610847382,30.181933563976145,21.237663327390052
SEN-001,2025-01-02 02:00:00,14.60556779965644,28.21738669678851,15.688972326821604
SEN-001,2025-01-02 03:00:00,19.699800647378748,16.32714822668734,20.77221660692659
SEN-001,2025-01-02 04:00:00,16.93688575533648,11.019037139591866,21.888590408642347
SEN-001,2025-01-02 05:00:00,11.176217143232378,32.027813246633414,21.442358836939654
SEN-001,2025-01-02 06:00:00,18.93509578988858,17.278965447283753,21.30936210715316
SEN-001,2025-01-02 07:00:00,22.085010109754194,12.145390789295039,22.12930095087895
SEN-001,2025-01-02 08:00:00,11.433986217893166,24.157182347620402,16.885678033139538
SEN-001,2025-01-02 09:00:00,14.181877513561018,27.995435778919102,21.500014978334168
SEN-001,2025-01-02 10:00:00,15.042742430986378,20.732526453471106,22.172834136071774
SEN-001,2025-01-02 11:00:00,12.72301860097768,21.684706200508703,21.548790185863634
SEN-001,2025-01-02 12:00:00,9.90742286906923,40.00491288697552,21.87268288830365
SEN-001,2025-01-02 13:00:00,16.844125599637422,32.279799838462004,25.879793825413977
